plot_name,subplot,direction,vol,plot_id,dpm,sampled,date,dry_mass
P10,S1,E,0.279344092,ABG_10,7,FALSE,14/03/2019,NA
P10,S1,N,0.104714186,ABG_10,4,FALSE,14/03/2019,NA
P10,S1,S,0.07416181,ABG_10,5,TRUE,14/03/2019,15.45
P10,S1,W,0.40616604,ABG_10,7,FALSE,14/03/2019,NA
P10,S2,E,0.279821112,ABG_10,9,FALSE,14/03/2019,NA
P10,S2,N,0.10432688,ABG_10,3,FALSE,14/03/2019,NA
P10,S2,S,0.378207845,ABG_10,22,TRUE,14/03/2019,46.18
P10,S2,W,0.154041814,ABG_10,6,FALSE,14/03/2019,NA
P10,S3,E,0,ABG_10,29,FALSE,14/03/2019,NA
P10,S3,N,0.377832013,ABG_10,9,FALSE,14/03/2019,NA
P10,S3,S,0.021329943,ABG_10,9,FALSE,14/03/2019,NA
P10,S3,W,0.409541844,ABG_10,12,FALSE,14/03/2019,NA
P10,S4,E,0.560531209,ABG_10,15,FALSE,14/03/2019,NA
P10,S4,N,5.80E-05,ABG_10,26,FALSE,14/03/2019,NA
P10,S4,S,0.16455541,ABG_10,13,FALSE,14/03/2019,NA
P10,S4,W,0.202114438,ABG_10,11,FALSE,14/03/2019,NA
P10,S5,E,0.122622068,ABG_10,3,FALSE,14/03/2019,NA
P10,S5,N,0.138848835,ABG_10,5,FALSE,14/03/2019,NA
P10,S5,S,0.268328439,ABG_10,4,FALSE,14/03/2019,NA
P10,S5,W,0.088541404,ABG_10,6,FALSE,14/03/2019,NA
P10,S6,E,0.338358665,ABG_10,5,FALSE,14/03/2019,NA
P10,S6,N,0.198025997,ABG_10,9,FALSE,14/03/2019,NA
P10,S6,S,0.161203528,ABG_10,15,TRUE,14/03/2019,89.12
P10,S6,W,0.448639573,ABG_10,10,TRUE,14/03/2019,27.83
P10,S7,E,0.210481331,ABG_10,15,TRUE,14/03/2019,24.05
P10,S7,N,0.170311232,ABG_10,6,FALSE,14/03/2019,NA
P10,S7,S,0.157454108,ABG_10,11,FALSE,14/03/2019,NA
P10,S7,W,0.155834417,ABG_10,17,FALSE,14/03/2019,NA
P10,S8,E,0.423544603,ABG_10,3,FALSE,14/03/2019,NA
P10,S8,N,0.521759477,ABG_10,3,FALSE,14/03/2019,NA
