"","lon","lat","elev","receiver_name","receiver_sat_sys","antenna_name"
"ABMF00GLP","-61.528","16.262","-25.268","SEPT POLARX5","GPS+GLO+GAL+BDS+SBAS","TRM57971.00"
"ABPO00MDG","47.229","-19.018","1553.398","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS","ASH701945G_M"
"ACRG00GHA","-0.207"," 5.641","83.792","JAVAD TR_G3TH","GPS+GLO+GAL","JAV_RINGANT_G3T"
"ADIS00ETH","38.766"," 9.035","2439.556","JPS LEGACY","GPS+GLO","TRM29659.00"
"AGGO00ARG","-58.140","-34.874","42.744","SEPT POLARX5TR","GPS+GLO+GAL+BDS+SBAS+IRNSS","LEIAR25.R4"
"AIRA00JPN","130.600","31.824","315.056","TRIMBLE ALLOY","GPS+GLO+GAL+QZSS","TRM59800.00"
"AJAC00FRA"," 8.763","41.927","99.200","SEPT POLARX5","GPS+GLO+GAL+BDS+SBAS","TRM115000.00"
"ALBH00CAN","-123.487","48.390","32.176","SEPT POLARX5","GPS+GLO+GAL","TRM59800.00"
"ALGO00CAN","-78.071","45.956","201.258","SEPT POLARX5","GPS+GLO+GAL","AOAD/M_T"
"ALIC00AUS","133.886","-23.670","603.767","SEPT POLARX5","GPS+QZSS+GLO+GAL+BDS","LEIAR25.R3"
"ALRT00CAN","-62.340","82.494","78.562","ASHTECH UZ-12","GPS","ASH701945D_M"
"AMC400USA","-104.525","38.803","1911.816","SEPT POLARX5TR","GPS+GLO+GAL+BDS","TPSCR.G5C"
"ANKR00TUR","32.759","39.888","975.191","LEICA GR30","GPS+GLO+GAL+BDS+QZSS+SBAS","LEIAR10"
"ANMG00MYS","101.507"," 2.785","15.402","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS","JAVRINGANT_DM"
"ANTC00CHL","-71.532","-37.339","746.168","TRIMBLE NETR9","GPS+GLO","ASH700936D_M"
"AREG00PER","-71.493","-16.465","2489.742","SEPT POLARX5","GPS+GLO+GAL+BDS+SBAS","TRM59800.00"
"AREQ00PER","-71.493","-16.466","2489.327","JAVAD TRE_G3TH DELTA","GPS+GLO+GAL+QZSS","JAVRINGANT_DM"
"ARHT00ATA","166.664","-77.829","135.782","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS+QZSS+IRNSS","JAVRINGANT_DM"
"ARTU00RUS","58.560","56.430","247.950","JAVAD TRE_G3TH DELTA","GPS+GLO","ASH700936D_M"
"ARUC00ARM","44.086","40.286","1222.580","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS","ASH701945C_M"
"ASCG00SHN","-14.333","-7.916","38.354","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+SBAS","TRM59800.00"
"ASPA00USA","-170.722","-14.326","54.070","TRIMBLE NETR5","GPS+GLO","TRM55971.00"
"ATRU00KAZ","51.954","47.131","-31.622","LEICA GR10","GPS+GLO+GAL+SBAS","LEIAR25.R4"
"AUCK00NZL","174.834","-36.603","133.092","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+QZSS","TRM115000.00"
"BADG00RUS","102.235","51.770","811.838","JAVAD TRE_3 DELTA","GPS+GLO+GAL","JAVRINGANT_DM"
"BAIE00CAN","-68.263","49.187","27.911","TPS NET-G5","GPS+GLO","TPSCR.G3"
"BAKE00CAN","-96.002","64.318"," 4.854","TPS NET-G3A","GPS+GLO","TPSCR.G3"
"BAKO00IDN","106.849","-6.491","158.562","LEICA GR50","GPS+GLO+GAL+BDS+QZSS+SBAS","LEIAR20"
"BAMF00CAN","-125.135","48.835","11.071","SEPT POLARX5","GPS+GLO+GAL+BDS","SEPCHOKE_B3E6"
"BARH00USA","-68.222","44.395"," 7.178","LEICA GR30","GPS+GLO","LEIAR10"
"BELE00BRA","-48.463","-1.409"," 9.476","TRIMBLE NETR9","GPS+GLO+GAL+BDS","TRM115000.00"
"BHR300BHR","50.608","26.209","-13.446","ITT 3750300","GPS","TPSCR.G5"
"BHR400BHR","50.608","26.209","-13.446","ITT 3750300","GPS","TPSCR.G5"
"BIK000KGZ","74.533","42.854","745.287","JAVAD TRE_G3TH DELTA","GPS+GLO+GAL","JAV_RINGANT_G3T"
"BILL00USA","-117.065","33.578","470.478","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+SBAS","TRM59800.99"
"BJCO00BEN"," 2.450"," 6.385","31.127","TRIMBLE NETR5","GPS+GLO","TRM59800.00"
"BJFS00CHN","115.892","39.609","87.833","TRIMBLE NETR9","GPS+GLO","TRM59900.00"
"BJNM00CHN","116.224","40.245","109.492","SEPT POLARX3ETR","GPS+GLO","NOV702GG"
"BLYT00USA","-114.715","33.610","86.324","TRIMBLE NETRS","GPS","ASH701945B_M"
"BNOA00IDN","115.210","-8.746","39.458","TRIMBLE NETR9","GPS","TRM59900.00"
