"plot_id","site","X","Y"
"ABG_1","AGO",14.7055261777912,-14.9622805246004
"ABG_10","AGO",14.8383599184868,-15.0988158321355
"ABG_11","AGO",14.8934043069214,-15.0578896680989
"ABG_12","AGO",14.9068473957004,-15.1166763266983
"ABG_13","AGO",14.8176075034194,-15.1981785242324
"ABG_14","AGO",14.7945907307428,-15.0118633622535
"ABG_15","AGO",14.7217482141955,-15.1332007041096
"ABG_2","AGO",14.8138855897341,-15.1139273853635
"ABG_3","AGO",14.9010749815789,-15.1933231807963
"ABG_4","AGO",14.9262838281467,-15.1630243684968
"ABG_5","AGO",14.7705876545635,-15.1253960169094
"ABG_6","AGO",14.7239900352056,-15.1266857384175
"ABG_7","AGO",14.6919605257567,-15.1291084783021
"ABG_8","AGO",14.8719732919952,-15.1083403428839
"ABG_9","AGO",14.8140004227791,-15.1967567628906
"TKW_10","TZA",39.0140959750493,-9.18415694182176
"TKW_13","TZA",39.0830215999868,-8.92979714981009
"TKW_19","TZA",39.0115257248237,-9.09984845820343
"TKW_21","TZA",39.0060252423307,-9.26880282533607
"TKW_25","TZA",39.0481625500438,-8.92782260053018
"TKW_7","TZA",39.106194750246,-8.9192161995541
"TKW_9","TZA",39.0035837913954,-9.07894437517946
