"plot_id","lon","lat","corner","site"
"ABG_5",475280.743417389,8327808.26924983,"NW","AGO"
"ABG_5",475366.003374189,8327859.91434835,"NE","AGO"
"ABG_5",475420.809509446,8327777.20020799,"SE","AGO"
"ABG_5",475336.516959401,8327722.26576769,"SW","AGO"
"ABG_6",470290.935142244,8327686.70144638,"NW","AGO"
"ABG_6",470389.858650114,8327699.83208765,"NE","AGO"
"ABG_6",470397.864011451,8327599.96626537,"SE","AGO"
"ABG_6",470298.572466316,8327586.76992744,"SW","AGO"
"ABG_7",466858.326887892,8327428.01974845,"NW","AGO"
"ABG_7",466960.423749028,8327411.243382,"NE","AGO"
"ABG_7",466946.807911423,8327314.21285697,"SE","AGO"
"ABG_7",466848.155836995,8327328.12927011,"SW","AGO"
"ABG_8",486177.20026904,8329721.08344438,"NW","AGO"
"ABG_8",486271.422249295,8329744.70516393,"NE","AGO"
"ABG_8",486309.728087012,8329650.71138971,"SE","AGO"
"ABG_8",486212.279126096,8329631.63051397,"SW","AGO"
"ABG_9",480016.014024336,8319974.67918872,"NW","AGO"
"ABG_9",480090.934938507,8319911.80196501,"NE","AGO"
"ABG_9",480030.100209005,8319830.12900775,"SE","AGO"
"ABG_9",479951.852100282,8319897.74934325,"SW","AGO"
"ABG_10",482570.593194758,8330779.08173086,"NW","AGO"
"ABG_10",482667.833243552,8330792.64272153,"NE","AGO"
"ABG_10",482691.005088919,8330697.9855292,"SE","AGO"
"ABG_10",482592.694961931,8330683.20054,"SW","AGO"
"ABG_11",488493.645090997,8335320.62394,"NW","AGO"
"ABG_11",488592.095085702,8335315.36026331,"NE","AGO"
"ABG_11",488592.143313349,8335215.15198422,"SE","AGO"
"ABG_11",488494.548457184,8335222.07625765,"SW","AGO"
"ABG_12",489983.579523667,8328831.63860492,"NW","AGO"
"ABG_12",490065.90275141,8328775.92810991,"NE","AGO"
"ABG_12",489999.43169414,8328701.89928689,"SE","AGO"
"ABG_12",489915.054785904,8328758.61076335,"SW","AGO"
"ABG_13",480366.735148897,8319809.84006934,"NW","AGO"
"ABG_13",480469.655019771,8319779.06326896,"NE","AGO"
"ABG_13",480448.048915184,8319680.82853922,"SE","AGO"
"ABG_13",480352.213589939,8319713.48485483,"SW","AGO"
"ABG_14",477859.566042065,8340375.82075819,"NW","AGO"
"ABG_14",477949.289348907,8340421.35846407,"NE","AGO"
"ABG_14",477976.894991205,8340327.26671081,"SE","AGO"
"ABG_14",477886.632030092,8340282.05267309,"SW","AGO"
"ABG_15",470064.076987959,8326975.72036668,"NW","AGO"
"ABG_15",470164.977648015,8326967.55050529,"NE","AGO"
"ABG_15",470143.723775302,8326868.86212275,"SE","AGO"
"ABG_15",470044.542876088,8326876.81064472,"SW","AGO"
"ABG_1",468291.372706688,8345883.76894964,"NW","AGO"
"ABG_1",468398.067909059,8345862.23511999,"NE","AGO"
"ABG_1",468375.184121191,8345767.08625273,"SE","AGO"
"ABG_1",468280.863643616,8345782.1095931,"SW","AGO"
"ABG_2",480005.984865254,8329135.65877898,"NW","AGO"
"ABG_2",480069.869476784,8329058.61589356,"NE","AGO"
"ABG_2",479998.467356328,8328993.85424458,"SE","AGO"
"ABG_2",479933.611103126,8329069.8940242,"SW","AGO"
"ABG_3",489330.478763467,8320345.97921517,"NW","AGO"
"ABG_3",489429.626358556,8320331.64410479,"NE","AGO"
"ABG_3",489418.282418752,8320232.20818795,"SE","AGO"
"ABG_3",489319.459817429,8320246.09765251,"SW","AGO"
"ABG_4",492021.163032784,8323678.06689992,"NW","AGO"
"ABG_4",492117.627203462,8323703.53881549,"NE","AGO"
"ABG_4",492140.539436388,8323605.77509777,"SE","AGO"
"ABG_4",492045.580422149,8323577.86602217,"SW","AGO"
"TKW_7",511724.87281,9014127.359416,"NE","TZA"
"TKW_7",511724.87281,9014027.359416,"SE","TZA"
"TKW_7",511624.87281,9014027.359416,"SW","TZA"
"TKW_7",511624.872810001,9014127.359416,"NW","TZA"
"TKW_9",500443.826173,8996469.929785,"NE","TZA"
"TKW_9",500443.826173,8996369.929785,"SE","TZA"
"TKW_9",500343.826173001,8996369.929785,"SW","TZA"
"TKW_9",500343.826173,8996469.929785,"NW","TZA"
"TKW_10",501598.55495,8984837.812986,"NE","TZA"
"TKW_10",501598.554950001,8984737.812986,"SE","TZA"
"TKW_10",501498.55495,8984737.812986,"SW","TZA"
"TKW_10",501498.55495,8984837.812986,"NW","TZA"
"TKW_13",509176.98954,9012958.215208,"NE","TZA"
"TKW_13",509176.98954,9012858.215208,"SE","TZA"
"TKW_13",509076.98954,9012858.215208,"SW","TZA"
"TKW_13",509076.98954,9012958.215208,"NW","TZA"
"TKW_19",501316.487456,8994158.804734,"NE","TZA"
"TKW_19",501316.487456001,8994058.804734,"SE","TZA"
"TKW_19",501216.487456,8994058.804734,"SW","TZA"
"TKW_19",501216.487456,8994158.804734,"NW","TZA"
"TKW_21",500711.766421,8975479.509559,"NE","TZA"
"TKW_21",500711.766421,8975379.509559,"SE","TZA"
"TKW_21",500611.766421,8975379.509559,"SW","TZA"
"TKW_21",500611.766421,8975479.509559,"NW","TZA"
"TKW_25",505344.784742,9013177.191534,"NE","TZA"
"TKW_25",505344.784742,9013077.191534,"SE","TZA"
"TKW_25",505244.784742,9013077.191534,"SW","TZA"
"TKW_25",505244.784742,9013177.191534,"NW","TZA"
