plot,corner,gps_code,decimal_lat,decimal_lon,elev_m,method
5,NW,P5_C_NW,-15.12524553,14.76993548,NA,GNSS
5,NE,P5_C_NE,-15.12477941,14.7707295,NA,GNSS
5,SE,P5_C_SE,-15.12552775,14.77123878,NA,GNSS
5,SW,P5_C_SW,-15.12602362,14.77045373,NA,GNSS
6,NW,P6CNW,-15.12629259,14.72349378,NA,GNSS
6,NE,P6CNE,-15.126175,14.72441462,NA,GNSS
6,SE,P6CSE,-15.12707798,14.72448796,1257.085693,GPS
6,SW,P6CSW,-15.12719616,14.72356369,NA,GNSS
7,NW,P7CNW,-15.12858999,14.69154297,1266.062012,GPS
7,NE,P7CNE,-15.12874296,14.69249298,1267.365845,GPS
7,SE,P7CSE,-15.12962004,14.69236499,1260.49231,GPS
7,SW,P7CSW,-15.12949297,14.691447,1262.113647,GPS
8,NW,P8CNW,-15.10803203,14.87136003,1235.335449,GPS
8,NE,P8CNE,-15.10781896,14.87223702,1238.18103,GPS
8,SE,P8CSE,-15.10866897,14.872593,1229.778687,GPS
8,SW,P8CSW,-15.10884097,14.871686,1230.840576,GPS
9,N,PLOT9_N,-15.19610999,14.813945,1237.049927,GPS
9,E,PLOT9_E,-15.19667904,14.81464203,1235.390381,GPS
9,S,PLOT9_S,-15.19741698,14.814075,1233.610352,GPS
9,W,PLOT9_W,-15.19680502,14.81334703,1235.287231,GPS
10,NW,P10CNW,-15.09844498,14.83780299,1234.072632,GPS
10,NE,P10CNE,-15.09832302,14.83870799,1241.770752,GPS
10,SE,P10CSE,-15.09917898,14.83892298,1241.943604,GPS
10,SW,P10CSW,-15.099312,14.83800801,1232.906128,GPS
11,NW,P11CNW,-15.05741699,14.89294301,1270.499023,GPS
11,NE,P11CNE,-15.05746501,14.89385898,1268.451172,GPS
11,SE,P11CSE,-15.05837101,14.89385898,1268.280151,GPS
11,SW,P11CSW,-15.05830798,14.89295097,1272.214722,GPS
12,N,P12CN,-15.11609098,14.90678002,1230.087158,GPS
12,E,P12CE,-15.11659498,14.90754596,1230.924683,GPS
12,S,P12CS,-15.11726403,14.90692704,1230.42334,GPS
12,W,P12CW,-15.11675097,14.90614199,1228.642822,GPS
13,NW,P13CNW,-15.19760298,14.81720899,1198.701416,GPS
13,NE,P13CNE,-15.19788201,14.81816696,1228.381226,GPS
13,SE,P13CSE,-15.19876999,14.81796504,1225.768066,GPS
13,SW,P13CSW,-15.19847402,14.81707304,1222.371582,GPS
14,NW,P14CNW,-15.011644,14.79404602,1322.799805,GPS
14,NE,P14CNE,-15.01123304,14.79488103,1321.472168,GPS
14,SE,P14CSE,-15.01208397,14.79513701,1321.721558,GPS
14,SW,P14CSW,-15.012492,14.79429698,1323.792847,GPS
15,NW,P14CNW,-15.13271799,14.721374,1263.883667,GPS
15,NE,P14CNE,-15.13279301,14.72231302,1264.006714,GPS
15,SE,P14CSE,-15.13368501,14.72211404,1266.973877,GPS
15,SW,P14CSW,-15.13361201,14.72119102,1265.928833,GPS
1,NW,NG-NW,-14.96174804,14.70511001,1293.595459,GPS
1,NE,NG-NE,-14.96194401,14.706102,1323.51709,GPS
1,SE,NG-SE,-14.96280399,14.70588801,1325.762817,GPS
1,SW,NG-SW,-14.96266703,14.70501102,1322.183105,GPS
2,NW,PLOT2-NW,-15.11328497,14.81392404,1245.914795,GPS
2,NE,PLOT2-NE,-15.11398201,14.81451798,1255.218384,GPS
2,SE,PLOT2-SE,-15.11456698,14.81385296,1255.050415,GPS
2,SW,PLOT2-SW,-15.113879,14.81324997,1251.282227,GPS
3,NW,PLOT3-NW,-15.19280802,14.90066601,1212.466675,GPS
3,NE,PLOT3-NE,-15.19293803,14.90158902,1210.267822,GPS
3,SE,PLOT3-SE,-15.19383699,14.90148299,1235.345215,GPS
3,SW,PLOT3-SW,-15.19371101,14.900563,1207.738647,GPS
4,NW,PLOT4-NW,-15.16269201,14.92572698,1195.913208,GPS
4,NE,PLOT4-NE,-15.16246201,14.92662502,1213.105835,GPS
4,SE,PLOT4-SE,-15.16334597,14.926838,1213.441162,GPS
4,SW,PLOT4-SW,-15.16359801,14.92595396,1198.902222,GPS
