plot,subplot,scan_num,file
P5,1,1,2019.02.15-10.53.58.zfs
P5,1,2,2019.02.15-11.05.22.zfs
P5,2,1,2019.02.15-11.58.21.zfs
P5,2,2,2019.02.15-12.10.20.zfs
P5,2,3,2019.02.15-12.21.41.zfs
P5,3,1,2019.02.15-13.17.26.zfs
P5,3,2,2019.02.15-13.29.03.zfs
P5,4,1,2019.02.15-14.22.43.zfs
P5,4,2,2019.02.15-15.17.35.zfs
P5,5,1,2019.02.15-16.06.03.zfs
P5,5,2,2019.02.15-16.15.54.zfs
P5,6,1,2019.02.15-17.00.00.zfs
P5,6,2,2019.02.15-17.09.56.zfs
P5,7,1,2019.02.16-07.36.38.zfs
P5,7,2,2019.02.16-07.49.38.zfs
P5,8,1,2019.02.16-08.32.23.zfs
P5,8,2,2019.02.16-08.43.54.zfs
P5,9,1,2019.02.16-09.29.31.zfs
P5,9,2,2019.02.16-09.39.33.zfs
P6,1,1,2019.02.17-08.39.47.zfs      
P6,1,2,2019.02.17-08.49.50.zfs      
P6,2,1,2019.02.17-09.41.36.zfs      
P6,2,2,2019.02.17-09.51.47.zfs      
P6,2,3,2019.02.17-10.01.58.zfs      
P6,3,1,2019.02.17-10.51.30.zfs      
P6,3,2,2019.02.17-11.03.19.zfs      
P6,3,3,2019.02.17-11.15.11.zfs      
P6,4,1,2019.02.17-14.21.09.zfs      
P6,4,2,2019.02.17-14.32.16.zfs      
P6,5,1,2019.02.17-15.23.28.zfs      
P6,5,2,2019.02.17-15.33.57.zfs      
P6,6,1,2019.02.17-16.21.18.zfs      
P6,6,2,2019.02.17-16.32.38.zfs      
P6,7,1,2019.02.18-08.10.58.zfs      
P6,7,2,2019.02.18-08.24.19.zfs      
P6,8,1,2019.02.18-09.10.40.zfs      
P6,8,2,2019.02.18-09.23.27.zfs      
P6,8,3,2019.02.18-09.34.20.zfs      
P6,9,1,2019.02.18-10.29.13.zfs      
P6,9,2,2019.02.18-10.40.30.zfs      
P7,1,1, 2019.02.20-08.29.06.zfs          
P7,1,2, 2019.02.20-08.39.49.zfs          
P7,1,3, 2019.02.20-08.49.58.zfs          
P7,2,1, 2019.02.20-09.40.37.zfs          
P7,2,2, 2019.02.20-09.50.54.zfs          
P7,2,3, 2019.02.20-10.01.13.zfs          
P7,3,1, 2019.02.20-10.48.45.zfs          
P7,3,2, 2019.02.20-10.59.52.zfs          
P7,4,1, 2019.02.20-11.43.42.zfs          
P7,4,2, 2019.02.20-11.54.30.zfs          
P7,5,1, 2019.02.20-12.39.57.zfs          
P7,5,2, 2019.02.20-12.50.36.zfs          
P7,6,1, 2019.02.20-13.32.51.zfs          
P7,6,2, 2019.02.20-13.45.09.zfs          
P7,7,1, 2019.02.20-14.29.18.zfs          
P7,8,1, 2019.02.20-15.23.35.zfs          
P7,8,2, 2019.02.20-15.37.25.zfs          
P7,9,1, 2019.02.20-16.21.54.zfs          
P7,9,2, 2019.02.20-16.32.54.zfs          
P8,1,1,2019.02.22-10.03.39.zfs       
P8,1,2,2019.02.22-10.16.33.zfs       
P8,2,1,2019.02.22-11.04.27.zfs       
P8,2,2,2019.02.22-11.15.40.zfs       
P8,3,1,2019.02.22-12.23.31.zfs       
P8,3,2,2019.02.22-12.34.28.zfs       
P8,3,3,2019.02.22-12.46.42.zfs       
P8,4,1,2019.02.22-13.31.57.zfs       
P8,4,2,2019.02.22-13.48.40.zfs       
P8,5,1,2019.02.22-14.39.58.zfs       
P8,5,2,2019.02.22-14.55.44.zfs       
