plot,scan_plot,tag,stem_id,distance_m,direction_deg,x_canopy_dim_m,y_canopy_dim_m,notes_scan,base_stem_id,height_m,dec_latitude,dec_longitude,species_binomial,dbh_cm
5,1,24,5_24,3,80,NA,NA,no record,5_24,NA,-15.12527302,14.77014796,Combretum hereroense,6.1
5,1,25,5_25,4.7,347,2.1,3.8,NA,5_25,3.2,-15.125227,14.77011099,Terminalia sericea,5.3
5,2,39,5_39,1.9,180,1.3,1.4,NA,5_39,3.2,-15.12508803,14.77039397,Diplorhynchus condylocarpon,8.9
5,2,40,5_40,1.3,152,1,0.9,NA,5_39,3.2,-15.12508803,14.77039397,Diplorhynchus condylocarpon,6
5,2,41,5_41,4.5,240,17.6,18.1,NA,5_41,22.2,-15.12510002,14.77038701,Brachystegia glaucescens,77.4
5,3,60,5_60,3.8,150,6.9,9.2,NA,5_60,10.8,-15.12490598,14.77066504,Brachystegia sp. plot_5,45.2
5,4,102,5_102,2.5,49,19.2,20.8,NA,5_103,17,-15.12509599,14.770803,Brachystegia sp. plot_5,57.3
5,4,103,5_103,2,50,NA,NA,no record,5_103,17,-15.12509599,14.770803,Brachystegia sp. plot_5,66.5
5,6,170,5_170,8,10,2.3,2.3,NA,5_170,3.4,-15.12558298,14.77025902,Julbernardia paniculata,6.8
5,6,171,5_171,8,10,2.3,2.3,NA,5_170,3.4,-15.12558298,14.77025902,Julbernardia paniculata,6.2
5,6,174,5_174,3.5,310,3.6,3.7,NA,5_174,10.4,-15.12553303,14.77027997,Brachystegia sp. plot_5,11
5,6,178,5_178,2.4,360,3.2,3.5,NA,5_178,10.4,-15.12553202,14.77031602,Burkea africana,9.8
5,6,179,5_179,2.4,360,3.2,3.5,NA,5_178,10.4,-15.12553202,14.77031602,Burkea africana,9.8
5,6,180,5_180,2.4,360,3.2,3.5,NA,5_178,10.4,-15.12553202,14.77031602,Burkea africana,8.6
5,6,181,5_181,1.8,310,1.9,1.8,NA,5_181,2.8,-15.12555096,14.77034401,Julbernardia paniculata,6.5
5,6,182,5_182,1.8,310,1.9,1.8,NA,5_181,2.8,-15.12555096,14.77034401,Julbernardia paniculata,8.3
5,5,227,5_227,2.9,310,2.5,2.5,NA,5_227,5.2,-15.12533303,14.77055297,Brachystegia sp. plot_5,8.4
5,5,229,5_229,1.9,340,3.4,2.7,NA,5_229,3.2,-15.12536899,14.77061299,Combretum hereroense,7.8
5,5,230,5_230,5,70,2.8,3.3,NA,5_230,5,-15.12535198,14.77060502,Julbernardia paniculata,9
5,5,231,5_231,1,120,3.2,1.5,NA,5_231,5,-15.12534401,14.77060704,Brachystegia sp. plot_5,8.1
5,5,232,5_232,0.9,120,3.2,1.5,NA,5_231,5,-15.12534401,14.77060704,Brachystegia sp. plot_5,5.9
5,5,233,5_233,0.9,108,2.8,2.5,NA,5_233,5,-15.12534804,14.77060704,Julbernardia paniculata,9.2
5,5,234,5_234,2.6,112,1.5,1.7,NA,5_234,5,-15.12528098,14.77062397,Julbernardia paniculata,7.6
5,5,235,5_235,2.8,100,2.7,2.3,NA,5_235,5,-15.12528098,14.77062397,Julbernardia paniculata,7.3
5,7,567,5_567,5,60,3.2,4.9,NA,5_564,6.4,-15.12579102,14.77051903,Julbernardia paniculata,13.5
5,7,568,5_568,4.9,360,3.4,2.6,NA,5_568,4.8,-15.12579404,14.77049002,Burkea africana,6.1
5,7,569,5_569,2.1,220,3.5,3.5,NA,5_569,4.8,-15.12581801,14.77046303,Pericopsis angolensis,6.4
5,7,570,5_570,2.1,220,3.5,3.5,NA,5_569,4.8,-15.12581801,14.77046303,Pericopsis angolensis,7.3
5,7,571,5_571,2.1,220,3.5,3.5,NA,5_569,4.8,-15.12581801,14.77046303,Pericopsis angolensis,6
5,7,572,5_572,2.1,220,3.5,3.5,NA,5_569,4.8,-15.12581801,14.77046303,Pericopsis angolensis,8.3
5,8,613,5_613,4.5,83,6,5.3,NA,5_613,7.8,-15.12563604,14.77082698,Pericopsis angolensis,24.5
5,9,657,5_657,1,50,3.6,2.7,NA,5_657,5.2,-15.12547703,14.77106997,Julbernardia paniculata,8.2
5,9,658,5_658,1.5,60,2.6,2.7,NA,5_657,5.2,-15.12547703,14.77106997,Julbernardia paniculata,9.1
5,9,659,5_659,0.5,60,2.3,3,NA,5_659,5.2,-15.12547703,14.77106997,Julbernardia paniculata,8.3
5,9,660,5_660,0.5,60,3.3,3.3,NA,5_659,5.2,-15.12547703,14.77106997,Julbernardia paniculata,6.2
5,9,661,5_661,2.3,240,2.4,2.4,NA,5_661,5.2,-15.12549799,14.77102697,Julbernardia paniculata,5.9
5,9,662,5_662,3.5,180,2.4,4.1,NA,5_662,4.9,-15.12550604,14.77103904,Julbernardia paniculata,7.5
5,9,663,5_663,3.6,200,4.1,4.1,NA,5_662,4.9,-15.12550604,14.77103904,Julbernardia paniculata,10.1
5,9,664,5_664,3.6,148,2.5,2.5,NA,5_664,4.9,-15.12552196,14.77105597,Julbernardia paniculata,6.5
6,1,18,6_18,7.2,198,4,10,NA,6_18,7.4,-15.12633299,14.72363099,Julbernardia paniculata,15.7
6,1,19,6_19,7,21,NA,NA,no record,6_19,8,-15.126334,14.72365597,Julbernardia paniculata,13.5
6,1,20,6_20,5.7,4,2.5,2.3,NA,6_20,6.5,-15.12634699,14.72365203,Julbernardia paniculata,8
6,1,24,6_24,5.3,50,2.2,2.5,NA,6_24,8.4,-15.12637298,14.72366201,Julbernardia paniculata,10.2
