date,mcdi_plot_id,scan_subplot,stem_tag,base_stem_tag,distance_m,direction_deg,x_canopy_dim_m,y_canopy_dim_m,notes,dbh_cm,height_tree_m,species_local
24/02/2020,W18,S1,N44A,N44A,2.4,81,4.7,4.7,diameter from circumference tape,8.721690881,6.6,Mgonogo
24/02/2020,W18,S1,N45,N45,4.9,81,5.9,8.2,diameter from circumference tape,14.38760686,4.8,Mtomoni
24/02/2020,W18,S1,N46,N45,4.9,118,5.9,8.2,diameter from circumference tape,11.77746579,4.8,Mtomoni
24/02/2020,W18,S1,N48,N48,8.9,161,5.3,5.2,diameter from circumference tape,9.008169779,4.9,Mtomoni
24/02/2020,W18,S1,N44,N44,4,242,3.3,2.5,diameter from circumference tape,15.97915629,2.5,Mtomoni
24/02/2020,W18,S1,N39,N39,5.2,310,10.2,5.8,diameter from circumference tape,14.99239564,4.8,Mtomoni
24/02/2020,W18,S1,N38,N39,5.2,310,10.2,5.8,diameter from circumference tape,12.0321137,4.8,Mtomoni
24/02/2020,W18,S1,N40,N39,5.2,310,10.2,5.8,diameter from circumference tape,13.75098708,4.7,Mtomoni
24/02/2020,W18,S1,N31,N31,10.3,312,13.1,12.8,diameter from circumference tape,13.46450819,21.8,Mtondolo
24/02/2020,W18,S2,P76,P76,4.2,50,4.8,4.7,diameter from circumference tape,15.31070553,7,Myombo
24/02/2020,W18,S2,P81,P81,7.2,189,6.5,8.8,diameter from circumference tape,13.1461983,6.6,Mtomoni
24/02/2020,W18,S2,P83,P81,7.2,189,6.5,8.8,diameter from circumference tape,11.20450799,6.6,Mtomoni
24/02/2020,W18,S2,P84,P81,7.2,189,6.5,8.8,diameter from circumference tape,7.989578143,6.6,Mtomoni
24/02/2020,W18,S2,P82,P81,7.2,189,6.5,8.8,diameter from circumference tape,16.87042397,6.6,Mtomoni
24/02/2020,W18,S2,P63,P63,2.2,260,4,4.1,diameter from circumference tape,8.626197916,3.2,Mtomoni
24/02/2020,W18,S2,P64,P63,2.2,260,4,4.1,diameter from circumference tape,7.671268257,3.2,Mtomoni
24/02/2020,W18,S2,P65,P63,2.2,260,4,4.1,diameter from circumference tape,7.384789359,3.2,Mtomoni
