PointID,Easting,Northing,GroundLevel,AntennaHeight
P13S1T1         , 480393.6616, 8319795.6856, 1246.2659,    0.5200
P13S1T2         , 480392.2256, 8319786.2811, 1246.0400,    0.5660
P13S1T3         , 480378.9780, 8319792.9999, 1245.6761,    0.6090
P13S1T4         , 480382.4125, 8319799.4535, 1245.9303,    0.5550
P13S2T1         , 480422.7727, 8319785.4551, 1246.9931,    0.5230
P13S2T2         , 480420.6441, 8319771.6419, 1246.7164,    0.5480
P13S2T4         , 480415.3751, 8319788.5924, 1246.7742,    0.5820
P13S3T1         , 480459.5497, 8319774.5682, 1247.8034,    0.6050
P13S3T2         , 480454.4272, 8319759.3583, 1247.4436,    0.5340
P13S3T3         , 480445.4854, 8319764.5724, 1247.3468,    0.5800
P13S3T4         , 480447.1200, 8319778.4403, 1247.5556,    0.5930
P13S3TC         , 480451.6780, 8319767.8226, 1247.5457,    0.6290
P13S4T1         , 480447.7066, 8319739.4305, 1247.0214,    0.5840
P13S4T2         , 480448.1912, 8319727.7667, 1246.5522,    0.6050
P13S4T3         , 480436.4416, 8319730.6541, 1246.3812,    0.5700
P13S4T4         , 480439.3451, 8319739.3035, 1246.7361,    0.6560
P13S5T1         , 480418.0256, 8319748.3183, 1246.1737,    0.5820
P13S5T2         , 480415.2265, 8319735.2330, 1245.7803,    0.6060
P13S5T3         , 480399.8102, 8319736.0089, 1245.3499,    0.6320
P13S5T4         , 480401.5856, 8319749.0730, 1245.7295,    0.5870
P13S5TC         , 480409.3461, 8319744.7960, 1245.8051,    0.6080
P13S6T1         , 480388.7475, 8319759.4094, 1245.4014,    0.6090
P13S6T2         , 480386.7899, 8319748.1658, 1245.2417,    0.5630
P13S6T3         , 480367.9997, 8319755.3448, 1244.5924,    0.6620
P13S6T4         , 480371.8456, 8319761.9885, 1244.8810,    0.6420
P13S6TC         , 480379.2093, 8319756.9171, 1245.0357,    0.6150
P13S7T1         , 480377.6068, 8319727.9267, 1244.2804,    0.6140
P13S7T2         , 480374.8919, 8319714.8682, 1243.5366,    0.6560
P13S7T3         , 480360.5979, 8319724.4934, 1243.2573,    0.6080
P13S7T4         , 480366.7784, 8319730.9664, 1244.0262,    0.6480
P13S8T1         , 480408.9579, 8319712.8126, 1244.9807,    0.6160
P13S8T2         , 480405.4547, 8319702.5372, 1244.5482,    0.6360
P13S8T3         , 480396.1052, 8319707.4498, 1244.2678,    0.6610
P13S8T4         , 480395.9359, 8319715.2503, 1244.5104,    0.6540
P13S9T1         , 480444.3555, 8319706.5319, 1245.9744,    0.6800
P13S9T2         , 480439.7529, 8319691.1840, 1245.3822,    0.6450
P13S9T3         , 480424.2785, 8319694.0940, 1244.8560,    0.6580
P13S9T4         , 480428.4183, 8319707.9750, 1245.5095,    0.6100
P13S9TC         , 480434.3235, 8319700.3267, 1245.6244,    0.6760
