PointID,Easting,Northing,GroundLevel,AntennaHeight
S3S1T1          , 511651.7446, 9014116.3060,  116.6510,    1.3250
S3S1T2          , 511649.4962, 9014108.1136,  116.6809,    1.2930
S3S1T3          , 511635.4430, 9014110.8888,  116.7192,    1.1650
S3S1T4          , 511641.2270, 9014120.4589,  116.7325,    1.3450
S3S1T5          , 511643.7296, 9014113.9960,  116.7391,    1.2540
S3S2T1          , 511687.9570, 9014117.6856,  116.3209,    1.2600
S3S2T2          , 511687.9871, 9014109.0016,  116.3944,    1.1750
S3S2T3          , 511672.3682, 9014110.2909,  116.4707,    1.3190
S3S2T4          , 511676.0107, 9014120.8401,  116.5206,    1.3090
S3S2T5          , 511678.4549, 9014113.6800,  116.4639,    1.3530
S3S3T1          , 511720.5704, 9014117.9008,  116.1450,    1.3140
S3S3T2          , 511717.2409, 9014104.6749,  116.2256,    1.2760
S3S3T3          , 511708.0841, 9014105.6563,  116.1302,    1.3350
S3S3T4          , 511710.7533, 9014114.3701,  116.2880,    1.3060
S3S3T5          , 511713.4039, 9014112.8647,  116.1859,    1.3140
S3S4T1          , 511717.2999, 9014085.9721,  116.1444,    1.1570
S3S4T2          , 511716.4418, 9014069.8787,  116.0508,    1.2960
S3S4T3          , 511704.9265, 9014075.6317,  116.1525,    1.2320
S3S4T4          , 511707.3981, 9014084.1232,  116.3437,    1.3000
S3S4T5          , 511712.5193, 9014077.7900,  116.1748,    1.2800
S3S5T1          , 511685.2257, 9014081.5306,  116.3828,    1.2950
S3S5T2          , 511680.1170, 9014069.9005,  116.4657,    1.3000
S3S5T3          , 511671.6157, 9014069.6124,  116.5194,    1.2570
S3S5T4          , 511671.7942, 9014080.9880,  116.4906,    1.2960
S3S6T1          , 511652.3605, 9014080.5676,  116.6409,    1.2600
S3S6T2          , 511645.1420, 9014067.1286,  116.7527,    1.2700
S3S6T3          , 511638.9639, 9014070.8490,  116.7660,    1.2780
S3S6T4          , 511637.5391, 9014082.6904,  116.7219,    1.3180
S3S6T5          , 511642.7500, 9014077.3390,  116.6929,    1.2830
S3S7T1          , 511646.5631, 9014046.3777,  116.7197,    1.3250
S3S7T2          , 511644.2396, 9014033.4716,  116.7777,    1.2720
S3S7T3          , 511633.3782, 9014041.5237,  116.7715,    1.2580
S3S7T4          , 511633.7861, 9014050.2229,  116.8000,    1.2350
S3S7T5          , 511641.1546, 9014042.2961,  116.7807,    1.2860
S3S8T1          , 511681.7028, 9014046.6101,  116.4858,    1.3360
S3S8T2          , 511686.4801, 9014034.6027,  116.3693,    1.1730
S3S8T3          , 511670.4011, 9014035.4866,  116.4671,    1.3480
S3S8T4          , 511671.7808, 9014049.6793,  116.5291,    1.3120
S3S8T5          , 511676.0458, 9014041.9500,  116.5079,    1.3280
S3S9T1          , 511719.1549, 9014046.8443,  116.2187,    1.2730
S3S9T2          , 511719.9204, 9014037.3664,  116.0120,    1.2850
S3S9T3          , 511705.8378, 9014035.6555,  116.1862,    1.3820
S3S9T4          , 511706.4084, 9014051.5526,  116.1965,    1.3110
