PointID,Easting,Northing,GroundLevel,AntennaHeight
W11S1T1         , 509099.9880, 9012945.9892,  113.5470,    1.1590
W11S1T2         , 509098.6044, 9012937.9066,  113.5406,    1.3400
W11S1T3         , 509088.6372, 9012936.3588,  113.2807,    1.2430
W11S1T4         , 509087.0200, 9012948.0188,  113.5575,    1.1800
W11S2T2         , 509135.7446, 9012933.4025,  112.9263,    1.1740
W11S2T3         , 509123.4193, 9012934.8442,  113.0331,    1.1980
W11S2T5         , 509126.9317, 9012942.0229,  113.1819,    1.2300
W11S3T1         , 509166.2005, 9012947.1055,  112.9619,    1.2200
W11S3T2         , 509169.5058, 9012934.2839,  112.6662,    1.3500
W11S3T3         , 509155.4810, 9012936.4783,  112.8569,    1.1400
W11S3T4         , 509157.9615, 9012947.9439,  113.0818,    1.2700
W11S3T5         , 509162.9299, 9012941.7259,  112.8980,    1.1900
W11S4T1         , 509170.6741, 9012908.5023,  112.4233,    1.1900
W11S4T2         , 509169.3254, 9012899.9163,  112.2807,    1.2500
W11S4T3         , 509155.9939, 9012898.7618,  112.4048,    1.1650
W11S4T5         , 509162.9934, 9012906.6742,  112.5858,    1.1400
W11S5T1         , 509132.3168, 9012911.5205,  112.5731,    1.0950
W11S5T3         , 509119.8220, 9012899.4124,  112.3156,    1.2560
W11S5T4         , 509120.8089, 9012914.1538,  112.5925,    1.1650
W11S5T5         , 509126.6555, 9012907.1124,  112.4324,    1.2520
W11S6T1         , 509101.4724, 9012913.1695,  112.8147,    1.1920
W11S6T2         , 509098.7695, 9012899.8828,  112.5255,    1.2460
W11S6T3         , 509083.6412, 9012901.7134,  112.9485,    1.2670
W11S6T4         , 509087.7746, 9012916.6748,  112.9628,    1.2790
W11S6T5         , 509094.0339, 9012906.8757,  112.7636,    1.2010
W11S7T2         , 509099.5401, 9012865.5044,  111.9038,    1.2750
W11S7T3         , 509087.2929, 9012865.0247,  111.9634,    1.2550
W11S7T4         , 509085.5361, 9012875.0424,  112.1339,    1.2130
W11S8T1         , 509132.8103, 9012874.8966,  112.1945,    1.2730
W11S8T2         , 509133.3937, 9012864.0702,  112.9689,    1.2680
W11S8T3         , 509120.9911, 9012866.7418,  112.0588,    1.1960
W11S8T4         , 509123.0978, 9012872.9411,  112.2997,    1.2510
W11S8T5         , 509126.6102, 9012871.5094,  112.1934,    1.3660
W11S9T1         , 509169.4734, 9012880.2366,  111.8465,    1.2750
W11S9T2         , 509169.5440, 9012863.6515,  111.6029,    1.1620
W11S9T3         , 509155.7938, 9012863.9331,  111.6205,    1.2330
W11S9T4         , 509153.9755, 9012876.8170,  111.8500,    1.1500
W11S9T5         , 509163.9129, 9012871.7149,  112.7516,    1.2360
