"local_species","local_synonym_ellie","genus_ellie","species_ellie","notes_paula","notes_iddi","genus","species"
"Kialabachi",NA,NA,NA,NA,NA,NA,NA
"Kiarabati",NA,NA,NA,NA,NA,NA,NA
"Kichwa boma",NA,NA,NA,NA,NA,NA,NA
"Kichwa cha mbutuka",NA,NA,NA,NA,NA,NA,NA
"Kigwaya",NA,"Philenoptera","wankieensis",NA,NA,"Philenoptera","wankieensis"
"Kihubahuba",NA,NA,NA,NA,NA,NA,NA
"Kiimbiti",NA,"Combretum","apiculatum",NA,NA,"Combretum","apiculatum"
"Kikulo",NA,NA,NA,NA,NA,NA,NA
"Kimbiti",NA,"Combretum","sp.",NA,NA,"Combretum","sp."
"Kingonogo",NA,NA,NA,NA,NA,NA,NA
"Kiruma",NA,"Acacia","senegal",NA,NA,"Acacia","senegal"
"Kitwatwe",NA,NA,NA,NA,NA,NA,NA
"Kiumbaumba",NA,NA,NA,NA,NA,NA,NA
"Lugoe",NA,"Glycine","wightii",NA,NA,"Glycine","wightii"
"Mbangangwaru","Mangangwaru",NA,NA,NA,NA,NA,NA
"Mangangwaru",NA,NA,NA,NA,NA,NA,NA
"Mbarubaru",NA,NA,NA,NA,NA,NA,NA
"Mbimbwi",NA,NA,NA,NA,NA,NA,NA
"Mbinji",NA,NA,NA,NA,NA,NA,NA
"Mboma",NA,NA,NA,NA,NA,NA,NA
"Mbubudu",NA,NA,NA,NA,NA,NA,NA
"Mbula",NA,"Parinari","curatellifolia",NA,NA,"Parinari","curatellifolia"
"Mbutuka",NA,"Rytigynia","sp.",NA,NA,"Rytigynia","sp."
"Mbutuka",NA,NA,NA,NA,NA,NA,NA
"Mbwabwa",NA,NA,NA,NA,NA,NA,NA
"Mchachandu",NA,NA,NA,NA,NA,NA,NA
"Mchaka",NA,NA,NA,NA,NA,NA,NA
"Mchecheta",NA,NA,NA,NA,NA,NA,NA
"Mchekwa",NA,NA,NA,NA,NA,NA,NA
"Mchenamila",NA,NA,NA,NA,NA,NA,NA
"Mchenga",NA,"Julbernardia","globiflora","Mtondoro, Mnondo",NA,"Julbernardia","globiflora"
"Mtondoro",NA,NA,NA,NA,NA,"Julbernardia","globiflora"
"Mnondo",NA,NA,NA,NA,NA,"Julbernardia","globiflora"
"Mcherenje",NA,NA,NA,NA,NA,NA,NA
"Mchikichi",NA,"Elaeis","guineensis",NA,NA,"Elaeis","guineensis"
"Mchinamila","Mlewelewe","Cassia","abbreviata",NA,NA,"Cassia","abbreviata"
