"plot_id_new","tree_id","species_name_clean","x_grid","y_grid","diam","height","alive","plot_id"
"TKW_10","TKW_10_1","Combretum apiculatum",90.1,50.9,6.5,NA,NA,"S7"
"TKW_10","TKW_10_10","Indet indet",8.8,63.8,10.5,NA,NA,"S7"
"TKW_10","TKW_10_100","Lannea schweinfurthii",53,59,8.5,NA,NA,"S7"
"TKW_10","TKW_10_101","Combretum apiculatum",55.1,56.9,6.6,NA,NA,"S7"
"TKW_10","TKW_10_102","Combretum apiculatum",55,48,7.6,NA,NA,"S7"
"TKW_10","TKW_10_102","Combretum apiculatum",54.5,47.6,7.3,NA,NA,"S7"
"TKW_10","TKW_10_102","Combretum apiculatum",55,46.9,6.3,NA,NA,"S7"
"TKW_10","TKW_10_103","Combretum apiculatum",52.3,41.4,7,NA,NA,"S7"
"TKW_10","TKW_10_104","Terminalia sericea",53.1,23.3,13.7,NA,NA,"S7"
"TKW_10","TKW_10_106","Vachellia nilotica",45.1,87.3,7.3,NA,NA,"S7"
"TKW_10","TKW_10_107","Combretum apiculatum",48.7,93.7,5.6,NA,NA,"S7"
"TKW_10","TKW_10_109","Dalbergia melanoxylon",57.1,6.6,16.6,NA,NA,"S7"
"TKW_10","TKW_10_109","Dalbergia melanoxylon",57.5,6.3,16.5,NA,NA,"S7"
"TKW_10","TKW_10_109","Dalbergia melanoxylon",58,6.4,15.2,NA,NA,"S7"
"TKW_10","TKW_10_109","Dalbergia melanoxylon",57.2,6.1,7.8,NA,NA,"S7"
"TKW_10","TKW_10_11","Sclerocarya birrea",1.6,65.3,9,NA,NA,"S7"
"TKW_10","TKW_10_110","Parinari curatellifolia",57.1,5.5,13.1,NA,NA,"S7"
"TKW_10","TKW_10_111","Parinari curatellifolia",59,5.3,6.6,NA,NA,"S7"
"TKW_10","TKW_10_112","Cassia abbreviata",57.8,0.9,7.8,NA,NA,"S7"
"TKW_10","TKW_10_112","Cassia abbreviata",57.8,0.2,9.9,NA,NA,"S7"
"TKW_10","TKW_10_114","Dalbergia melanoxylon",65,10.9,19.1,NA,NA,"S7"
"TKW_10","TKW_10_115","Senegalia nigrescens",50.5,99.9,6.4,NA,NA,"S7"
"TKW_10","TKW_10_116","Indet indet",NA,NA,NA,NA,NA,"S7"
"TKW_10","TKW_10_117","Combretum apiculatum",66.8,17.4,7.2,NA,NA,"S7"
"TKW_10","TKW_10_117","Combretum apiculatum",66.7,17.5,6.8,NA,NA,"S7"
"TKW_10","TKW_10_118","Combretum apiculatum",69.7,25.9,6.6,NA,NA,"S7"
"TKW_10","TKW_10_119","Vachellia nilotica",65,31.4,9.7,NA,NA,"S7"
"TKW_10","TKW_10_120","Terminalia sericea",69,32.8,10,NA,NA,"S7"
"TKW_10","TKW_10_121","Parinari curatellifolia",65.6,48.6,7.4,NA,NA,"S7"
"TKW_10","TKW_10_122","Parinari curatellifolia",63.5,49.3,9.1,NA,NA,"S7"
"TKW_10","TKW_10_123","Dalbergia melanoxylon",62.6,49.7,18.5,NA,NA,"S7"
"TKW_10","TKW_10_123","Dalbergia melanoxylon",62.3,49.7,15.5,NA,NA,"S7"
"TKW_10","TKW_10_124","Combretum apiculatum",55.7,89.3,7.9,NA,NA,"S7"
"TKW_10","TKW_10_125","Terminalia sericea",67,58.9,22.1,NA,NA,"S7"
"TKW_10","TKW_10_126","Combretum apiculatum",64.8,69.4,5.9,NA,NA,"S7"
"TKW_10","TKW_10_127","Indet indet",68.5,75.1,8.9,NA,NA,"S7"
"TKW_10","TKW_10_128","Combretum zeyheri",68.3,76.5,21.7,NA,NA,"S7"
"TKW_10","TKW_10_128","Combretum zeyheri",69,76.8,10,NA,NA,"S7"
"TKW_10","TKW_10_128","Combretum zeyheri",68.4,77.2,8.3,NA,NA,"S7"
"TKW_10","TKW_10_128","Combretum zeyheri",69.3,77.3,NA,NA,NA,"S7"
"TKW_10","TKW_10_129","Vachellia nilotica",65,88.6,7.3,NA,NA,"S7"
"TKW_10","TKW_10_13","Combretum apiculatum",7,75.5,5.2,NA,NA,"S7"
