"plot_id","subplot","point_id","lon","lat"
"ABG_1","S7","P1S7TC",468295.4837,8345796.7668
"ABG_1","S8","P1S8TC",468328.6327,8345787.4319
"ABG_1","S9","P1S9TC",468361.3572,8345782.287
"ABG_1","S1","P1S1TC",468310.2134,8345863.7088
"ABG_1","S2","P1S2TC",468345.6081,8345859.8771
"ABG_1","S3","P1S3TC",468378.8348,8345855.4776
"ABG_1","S4","P1S4TC",468367.2515,8345820.1157
"ABG_1","S5","P1S5TC",468335.8228,8345821.3345
"ABG_1","S6","P1S6TC",468302.4722,8345830.5214
"ABG_10","S1","P10S1TC",482588.7108,8330767.2131
"ABG_10","S2","P10S2TC",482622.2123,8330771.9397
"ABG_10","S3","P10S3TC",482656.479,8330777.4569
"ABG_10","S4","P10S4TC",482664.7881,8330743.7269
"ABG_10","S5","P10S5TC",482630.2265,8330737.5805
"ABG_10","S8","P10S8TC",482638.2213,8330704.022
"ABG_10","S9","P10S9TC",482672.7935,8330709.7407
"ABG_11","S1","P11S1TC",488576.9831,8335301.2718
"ABG_11","S2","P11S2TC",488577.6931,8335264.7737
"ABG_13","S3","P13S3TC",480451.678,8319767.8226
"ABG_13","S5","P13S5TC",480409.3461,8319744.796
"ABG_13","S6","P13S6TC",480379.2093,8319756.9171
"ABG_13","S9","P13S9TC",480434.3235,8319700.3267
"ABG_15","S2","P15S2TC",470109.9444,8326956.3883
"ABG_15","S4","P15S4TC",470136.7667,8326919.0317
"ABG_15","S6","P15S6TC",470067.3853,8326924.2004
"ABG_2","S1","P2S1TC",480006.1567,8329114.5626
"ABG_2","S2","P2S2TC",480026.0443,8329089.4908
"ABG_2","S3","P2S3TC",480049.1481,8329062.0629
"ABG_2","S4","P2S4TC",480024.5504,8329037.5516
"ABG_2","S5","P2S5TC",480002.1317,8329067.7773
"ABG_2","S6","P2S6TC",479980.5482,8329090.8218
"ABG_2","S7","P2S7TC",479954.6792,8329066.784
"ABG_2","S8","P2S8TC",479977.3494,8329042.435
"ABG_2","S9","P2S9TC",479999.4524,8329015.2754
"ABG_4","S1","P4S1TC",492037.5769,8323667.9867
"ABG_4","S2","P4S2TC",492072.5446,8323676.6475
"ABG_4","S4","P4S4TC",492115.0605,8323651.4767
"ABG_4","S5","P4S5TC",492081.9921,8323643.732
"ABG_4","S6","P4S6TC",492046.382,8323632.4848
"ABG_4","S7","P4S7TC",492054.6417,8323601.036
"ABG_5","S4","P5S4TC",475380.8654,8327813.4484
"ABG_5","S5","P5S5TC",475350.1126,8327798.1382
"ABG_5","S1","P5S1TC",475300.7456,8327805.1831
"ABG_5","S2","P5S2TC",475330.6681,8327826.3179
"ABG_5","S3","P5S3TC",475361.301,8327842.8702
