"plot_id","subplot","stem_tag_id","tree_tag_id","distance","direction","diam","x_dim","y_dim","height","species"
"ABG_5","S1","5_24","5_24",3,80,6.1,NA,NA,NA,"Combretum hereroense"
"ABG_5","S1","5_25","5_25",4.7,347,5.3,2.1,3.8,3.2,"Terminalia sericea"
"ABG_5","S2","5_39","5_39",1.9,180,8.9,1.3,1.4,3.2,"Diplorhynchus condylocarpon"
"ABG_5","S2","5_40","5_39",1.3,152,6,1,0.9,3.2,"Diplorhynchus condylocarpon"
"ABG_5","S2","5_41","5_41",4.5,240,77.4,17.6,18.1,22.2,"Brachystegia glaucescens"
"ABG_5","S3","5_60","5_60",3.8,150,45.2,6.9,9.2,10.8,"Brachystegia sp. plot_5"
"ABG_5","S4","5_102","5_103",2.5,49,57.3,19.2,20.8,17,"Brachystegia sp. plot_5"
"ABG_5","S4","5_103","5_103",2,50,66.5,NA,NA,17,"Brachystegia sp. plot_5"
"ABG_5","S6","5_170","5_170",8,10,6.8,2.3,2.3,3.4,"Julbernardia paniculata"
"ABG_5","S6","5_171","5_170",8,10,6.2,2.3,2.3,3.4,"Julbernardia paniculata"
"ABG_5","S6","5_174","5_174",3.5,310,11,3.6,3.7,10.4,"Brachystegia sp. plot_5"
"ABG_5","S6","5_178","5_178",2.4,360,9.8,3.2,3.5,10.4,"Burkea africana"
"ABG_5","S6","5_179","5_178",2.4,360,9.8,3.2,3.5,10.4,"Burkea africana"
"ABG_5","S6","5_180","5_178",2.4,360,8.6,3.2,3.5,10.4,"Burkea africana"
"ABG_5","S6","5_181","5_181",1.8,310,6.5,1.9,1.8,2.8,"Julbernardia paniculata"
"ABG_5","S6","5_182","5_181",1.8,310,8.3,1.9,1.8,2.8,"Julbernardia paniculata"
"ABG_5","S5","5_227","5_227",2.9,310,8.4,2.5,2.5,5.2,"Brachystegia sp. plot_5"
"ABG_5","S5","5_229","5_229",1.9,340,7.8,3.4,2.7,3.2,"Combretum hereroense"
"ABG_5","S5","5_230","5_230",5,70,9,2.8,3.3,5,"Julbernardia paniculata"
"ABG_5","S5","5_231","5_231",1,120,8.1,3.2,1.5,5,"Brachystegia sp. plot_5"
"ABG_5","S5","5_232","5_231",0.9,120,5.9,3.2,1.5,5,"Brachystegia sp. plot_5"
"ABG_5","S5","5_233","5_233",0.9,108,9.2,2.8,2.5,5,"Julbernardia paniculata"
"ABG_5","S5","5_234","5_234",2.6,112,7.6,1.5,1.7,5,"Julbernardia paniculata"
"ABG_5","S5","5_235","5_235",2.8,100,7.3,2.7,2.3,5,"Julbernardia paniculata"
"ABG_5","S7","5_567","5_564",5,60,13.5,3.2,4.9,6.4,"Julbernardia paniculata"
"ABG_5","S7","5_568","5_568",4.9,360,6.1,3.4,2.6,4.8,"Burkea africana"
"ABG_5","S7","5_569","5_569",2.1,220,6.4,3.5,3.5,4.8,"Pericopsis angolensis"
"ABG_5","S7","5_570","5_569",2.1,220,7.3,3.5,3.5,4.8,"Pericopsis angolensis"
"ABG_5","S7","5_571","5_569",2.1,220,6,3.5,3.5,4.8,"Pericopsis angolensis"
"ABG_5","S7","5_572","5_569",2.1,220,8.3,3.5,3.5,4.8,"Pericopsis angolensis"
"ABG_5","S8","5_613","5_613",4.5,83,24.5,6,5.3,7.8,"Pericopsis angolensis"
"ABG_5","S9","5_657","5_657",1,50,8.2,3.6,2.7,5.2,"Julbernardia paniculata"
"ABG_5","S9","5_658","5_657",1.5,60,9.1,2.6,2.7,5.2,"Julbernardia paniculata"
"ABG_5","S9","5_659","5_659",0.5,60,8.3,2.3,3,5.2,"Julbernardia paniculata"
"ABG_5","S9","5_660","5_659",0.5,60,6.2,3.3,3.3,5.2,"Julbernardia paniculata"
"ABG_5","S9","5_661","5_661",2.3,240,5.9,2.4,2.4,5.2,"Julbernardia paniculata"
"ABG_5","S9","5_662","5_662",3.5,180,7.5,2.4,4.1,4.9,"Julbernardia paniculata"
"ABG_5","S9","5_663","5_662",3.6,200,10.1,4.1,4.1,4.9,"Julbernardia paniculata"
"ABG_5","S9","5_664","5_664",3.6,148,6.5,2.5,2.5,4.9,"Julbernardia paniculata"
"ABG_6","S1","6_18","6_18",7.2,198,15.7,4,10,7.4,"Julbernardia paniculata"
"ABG_6","S1","6_19","6_19",7,21,13.5,NA,NA,8,"Julbernardia paniculata"
"ABG_6","S1","6_20","6_20",5.7,4,8,2.5,2.3,6.5,"Julbernardia paniculata"
"ABG_6","S1","6_24","6_24",5.3,50,10.2,2.2,2.5,8.4,"Julbernardia paniculata"
"ABG_6","S1","6_25","6_25",3,50,12.8,2.8,2.4,8.4,"Julbernardia paniculata"
"ABG_6","S1","6_26","6_26",7.1,98,10.4,2.1,2.8,6,"Julbernardia paniculata"
"ABG_6","S2","6_63","6_63",6.5,321,8.6,1.7,1.8,5.3,"Julbernardia paniculata"
"ABG_6","S2","6_64","6_64",4.4,322,6.5,4.9,11.5,5.4,"Julbernardia paniculata"
"ABG_6","S2","6_65","6_65",6.1,299,13,3.5,3.4,8.6,"Julbernardia paniculata"
"ABG_6","S2","6_74","6_74",8.9,221,13.2,2.9,5.1,7.8,"Julbernardia paniculata"
"ABG_6","S2","6_77","6_77",6.8,32,38,8.7,9.4,13.8,"Julbernardia paniculata"
"ABG_6","S2","6_78","6_78",5.1,40,23,6.8,6.2,8,"Julbernardia paniculata"
"ABG_6","S2","6_79","6_79",8.7,140,17.7,5.2,7.1,7.6,"Julbernardia paniculata"
"ABG_6","S3","6_158","6_157",5.5,266,7.6,2.5,2.2,5,"Pteleopsis anisoptera"
"ABG_6","S3","6_159","6_159",2.8,270,6.2,1.7,1.2,2.6,"Strychnos pungens"
"ABG_6","S3","6_160","6_160",4.9,220,8.2,2.3,2,4,"Pteleopsis anisoptera"
"ABG_6","S3","6_162","6_162",5.5,212,6.5,2.1,1.1,5,"Pteleopsis anisoptera"
"ABG_6","S3","6_163","6_163",5.6,70,5.6,2.1,1.1,5,"Pteleopsis anisoptera"
"ABG_6","S3","6_178","6_178",4.5,64,7,1.2,1.1,3.8,"Lonchocarpus nelsii"
"ABG_6","S6","6_405","6_405",4.6,180,8.9,2.9,2.4,5.8,"Julbernardia paniculata"
"ABG_6","S6","6_407","6_407",5,210,5.4,2.2,2.6,5.6,"Julbernardia paniculata"
"ABG_6","S5","6_416","6_416",1.6,78,7.3,2.2,2.8,5.8,"Julbernardia paniculata"
"ABG_6","S5","6_455","6_455",0.7,245,5.9,2,1.5,4.6,"Julbernardia paniculata"
"ABG_6","S4","6_507","6_507",6.3,280,10.4,1.8,1.4,6,"Julbernardia paniculata"
"ABG_6","S4","6_517","6_517",1.6,160,5.8,1.2,1.7,4.6,"Julbernardia paniculata"
"ABG_6","S4","6_518","6_518",2.1,30,12,5.1,4.5,8.8,"Julbernardia paniculata"
"ABG_6","S4","6_521","6_521",5.2,62,14.5,4.5,4.7,8.8,"Julbernardia paniculata"
"ABG_6","S4","6_522","6_522",4.3,63,5.7,2.2,2.3,3.4,"Pteleopsis anisoptera"
"ABG_6","S7","6_664","6_664",10.3,340,34.3,9.7,11.3,13.6,"Julbernardia paniculata"
"ABG_6","S7","6_667","6_667",4.7,296,37.5,10.6,10.7,13.8,"Julbernardia paniculata"
"ABG_6","S7","6_678","6_678",6.4,124,17.9,5.6,4.9,8.6,"Julbernardia paniculata"
"ABG_6","S8","6_689","6_689",5.9,334,36.2,10.1,9.2,12.8,"Julbernardia paniculata"
"ABG_6","S8","6_690","6_690",2.5,352,7.4,3.1,3.4,3.6,"Lonchocarpus nelsii"
"ABG_6","S8","6_693","6_693",3.4,248,10.5,2.4,2.1,5.8,"Lonchocarpus nelsii"
"ABG_6","S8","6_694","6_694",2.4,208,11.1,2.3,2.1,5.8,"Julbernardia paniculata"
"ABG_6","S8","6_695","6_695",5.2,224,13.6,4.4,4.7,7.2,"Julbernardia paniculata"
"ABG_6","S8","6_698","6_698",7.6,172,17.7,3.8,4.4,7,"Julbernardia paniculata"
"ABG_6","S8","6_702","6_702",5.1,152,5.2,8,1.5,6.8,"Julbernardia paniculata"
"ABG_6","S8","6_703","6_703",3.1,180,5,4,8,6.8,"Julbernardia paniculata"
"ABG_6","S8","6_704","6_704",2.9,21,8.1,2.1,1.4,6.6,"Julbernardia paniculata"
"ABG_6","S8","6_705","6_705",6.3,4,11.4,1.4,2.1,6.7,"Julbernardia paniculata"
"ABG_6","S8","6_706","6_706",5.5,50,7.4,1.4,1.1,7,"Julbernardia paniculata"
"ABG_6","S8","6_707","6_707",7.2,38,11.2,2.9,4.9,7,"Julbernardia paniculata"
"ABG_6","S8","6_708","6_708",6.6,64,10.3,2.6,2.5,6.6,"Julbernardia paniculata"
"ABG_6","S8","6_709","6_709",5.8,86,6,1.2,1.3,6.4,"Julbernardia paniculata"
"ABG_6","S9","6_729","6_729",6.5,222,38,11.7,11.3,15.4,"Julbernardia paniculata"
"ABG_6","S9","6_731","6_731",3.2,316,15.2,4.5,4.1,9.4,"Julbernardia paniculata"
"ABG_6","S9","6_742","6_740",12,164,34.6,18.1,22.2,22.8,"Brachystegia glaucescens"
"ABG_6","S7",NA,NA,5.6,2,NA,NA,NA,NA,NA
"ABG_7","S1","7_38","7_38",3.1,72,11.1,3,4.4,7.8,"Brachystegia sp. plot_6"
"ABG_7","S1","7_36","7_35",5.6,78,12.4,4.5,4.2,14.8,"Brachystegia sp. plot_6"
"ABG_7","S1","7_35","7_35",5.6,76,14,4.5,4.2,14.8,"Brachystegia sp. plot_6"
"ABG_7","S1","7_37","7_37",1.2,58,11.9,5.2,2,9.6,"Combretum collinum"
"ABG_7","S1","7_15","7_15",1.2,2,12.6,3.6,2.8,9.2,"Brachystegia sp. plot_6"
"ABG_7","S1","7_34","7_34",7.2,6,9.3,4,3.4,6.2,"Combretum collinum"
"ABG_7","S1","7_14","7_14",4,0,8,2.5,1.7,9,"Brachystegia sp. plot_6"
"ABG_7","S1","7_4","7_4",5.3,310,11.6,3.6,4,8,"Brachystegia sp. plot_6"
