"plot_id","plot_name","subplot","target","point_id","lon","lat","ground_elev","antenna_elev","target_offset","target_elev","country","utm","centre"
"ABG_1","P1","S7","T1","P1S7T1",468300.5498,8345801.4777,1340.4357,0.67,0.165,1341.2707,"AGO","33S",FALSE
"ABG_1","P1","S7","T2","P1S7T2",468299.7292,8345790.1353,1340.6858,0.704,0.165,1341.5548,"AGO","33S",FALSE
"ABG_1","P1","S7","T3","P1S7T3",468288.9072,8345796.8632,1340.0277,0.67,0.165,1340.8627,"AGO","33S",FALSE
"ABG_1","P1","S7","T4","P1S7T4",468289.4495,8345806.3797,1339.8391,0.675,0.165,1340.6791,"AGO","33S",FALSE
"ABG_1","P1","S7","TC","P1S7TC",468295.4837,8345796.7668,1340.0906,0.625,0.165,1340.8806,"AGO","33S",TRUE
"ABG_1","P1","S8","T1","P1S8T1",468337.7379,8345796.6605,1342.3177,0.668,0.165,1343.1507,"AGO","33S",FALSE
"ABG_1","P1","S8","T2","P1S8T2",468335.5283,8345780.6026,1342.6243,0.677,0.165,1343.4663,"AGO","33S",FALSE
"ABG_1","P1","S8","TC","P1S8TC",468328.6327,8345787.4319,1342.1039,0.687,0.165,1342.9559,"AGO","33S",TRUE
"ABG_1","P1","S9","T1","P1S9T1",468367.4419,8345791.8414,1343.8633,0.693,0.165,1344.7213,"AGO","33S",FALSE
"ABG_1","P1","S9","T2","P1S9T2",468368.7658,8345773.2308,1344.2774,0.73,0.165,1345.1724,"AGO","33S",FALSE
"ABG_1","P1","S9","T3","P1S9T3",468350.223,8345782.2401,1343.1532,0.704,0.165,1344.0222,"AGO","33S",FALSE
"ABG_1","P1","S9","TC","P1S9TC",468361.3572,8345782.287,1343.6296,0.719,0.165,1344.5136,"AGO","33S",TRUE
"ABG_1","P1","S1","T1","P1S1T1",468316.2784,8345869.8028,1339.4341,0.712,0.165,1340.3111,"AGO","33S",FALSE
"ABG_1","P1","S1","T2","P1S1T2",468317.3114,8345856.4282,1339.9373,0.73,0.165,1340.8323,"AGO","33S",FALSE
"ABG_1","P1","S1","T3","P1S1T3",468303.2159,8345857.3446,1338.8573,0.75,0.165,1339.7723,"AGO","33S",FALSE
"ABG_1","P1","S1","T4","P1S1T4",468301.847,8345870.8118,1338.8784,0.753,0.165,1339.7964,"AGO","33S",FALSE
"ABG_1","P1","S1","TC","P1S1TC",468310.2134,8345863.7088,1338.5553,0.717,0.165,1339.4373,"AGO","33S",TRUE
"ABG_1","P1","S2","T1","P1S2T1",468355.5743,8345865.0676,1341.2754,0.66,0.165,1342.1004,"AGO","33S",FALSE
"ABG_1","P1","S2","T2","P1S2T2",468353.12,8345852.4165,1341.4915,0.705,0.165,1342.3615,"AGO","33S",FALSE
"ABG_1","P1","S2","T3","P1S2T3",468335.7584,8345856.2253,1340.5843,0.653,0.165,1341.4023,"AGO","33S",FALSE
"ABG_1","P1","S2","T4","P1S2T4",468335.7878,8345867.9374,1342.691,0.693,0.165,1343.549,"AGO","33S",FALSE
"ABG_1","P1","S2","TC","P1S2TC",468345.6081,8345859.8771,1340.82,0.734,0.165,1341.719,"AGO","33S",TRUE
"ABG_1","P1","S3","T1","P1S3T1",468386.8891,8345855.2966,1342.8634,0.705,0.165,1343.7334,"AGO","33S",FALSE
"ABG_1","P1","S3","T2","P1S3T2",468381.1719,8345847.4021,1342.8796,0.72,0.165,1343.7646,"AGO","33S",FALSE
"ABG_1","P1","S3","T3","P1S3T3",468369.4221,8345852.9655,1342.2211,0.686,0.165,1343.0721,"AGO","33S",FALSE
"ABG_1","P1","S3","TC","P1S3TC",468378.8348,8345855.4776,1342.6204,0.681,0.165,1343.4664,"AGO","33S",TRUE
"ABG_1","P1","S4","T1","P1S4T1",468374.4197,8345825.0618,1343.2002,0.634,0.165,1343.9992,"AGO","33S",FALSE
"ABG_1","P1","S4","T3","P1S4T3",468359.9857,8345815.349,1342.8543,0.68,0.165,1343.6993,"AGO","33S",FALSE
"ABG_1","P1","S4","T4","P1S4T4",468364.0093,8345827.4013,1342.7021,0.739,0.165,1343.6061,"AGO","33S",FALSE
"ABG_1","P1","S4","TC","P1S4TC",468367.2515,8345820.1157,1343.035,0.703,0.165,1343.903,"AGO","33S",TRUE
"ABG_1","P1","S5","T1","P1S5T1",468345.9821,8345827.5736,1341.8167,0.704,0.165,1342.6857,"AGO","33S",FALSE
"ABG_1","P1","S5","T2","P1S5T2",468342.2638,8345811.145,1342.135,0.726,0.165,1343.026,"AGO","33S",FALSE
"ABG_1","P1","S5","T3","P1S5T3",468330.3138,8345810.7507,1341.544,0.69,0.165,1342.399,"AGO","33S",FALSE
"ABG_1","P1","S5","T4","P1S5T4",468327.7586,8345827.2641,1341.0022,0.737,0.165,1341.9042,"AGO","33S",FALSE
"ABG_1","P1","S5","TC","P1S5TC",468335.8228,8345821.3345,1341.5984,0.725,0.165,1342.4884,"AGO","33S",TRUE
"ABG_1","P1","S6","T1","P1S6T1",468305.9517,8345838.4344,1339.7724,0.694,0.165,1340.6314,"AGO","33S",FALSE
"ABG_1","P1","S6","T2","P1S6T2",468308.4809,8345821.3082,1340.3521,0.709,0.165,1341.2261,"AGO","33S",FALSE
"ABG_1","P1","S6","T3","P1S6T3",468296.9025,8345822.564,1339.81,0.69,0.165,1340.665,"AGO","33S",FALSE
"ABG_1","P1","S6","TC","P1S6TC",468302.4722,8345830.5214,1339.8042,0.724,0.165,1340.6932,"AGO","33S",TRUE
"ABG_10","P10","S1","T1","P10S1T1",482594.9091,8330777.8445,1252.5483,0.647,0.165,1253.3603,"AGO","33S",FALSE
"ABG_10","P10","S1","T3","P10S1T3",482579.7535,8330759.0067,1251.0359,0.534,0.165,1251.7349,"AGO","33S",FALSE
"ABG_10","P10","S1","T4","P10S1T4",482580.0763,8330776.7055,1251.3806,0.635,0.165,1252.1806,"AGO","33S",FALSE
"ABG_10","P10","S1","TC","P10S1TC",482588.7108,8330767.2131,1251.7443,0.663,0.165,1252.5723,"AGO","33S",TRUE
"ABG_10","P10","S2","T1","P10S2T1",482620.5687,8330782.1617,1254.6229,0.655,0.165,1255.4429,"AGO","33S",FALSE
"ABG_10","P10","S2","T2","P10S2T2",482628.6217,8330772.0446,1255.0342,0.653,0.165,1255.8522,"AGO","33S",FALSE
"ABG_10","P10","S2","T3","P10S2T3",482619.2843,8330764.4631,1254.013,0.604,0.165,1254.782,"AGO","33S",FALSE
"ABG_10","P10","S2","T4","P10S2T4",482612.0217,8330777.4125,1253.7501,0.586,0.165,1254.5011,"AGO","33S",FALSE
"ABG_10","P10","S2","TC","P10S2TC",482622.2123,8330771.9397,1254.5341,0.61,0.165,1255.3091,"AGO","33S",TRUE
"ABG_10","P10","S3","T1","P10S3T1",482659.0122,8330784.6649,1258.0142,0.659,0.165,1258.8382,"AGO","33S",FALSE
"ABG_10","P10","S3","T2","P10S3T2",482663.8291,8330775.1567,1258.238,0.632,0.165,1259.035,"AGO","33S",FALSE
"ABG_10","P10","S3","T3","P10S3T3",482656.1135,8330767.0668,1257.3703,0.641,0.165,1258.1763,"AGO","33S",FALSE
"ABG_10","P10","S3","T4","P10S3T4",482649.9691,8330775.5564,1256.9816,0.585,0.165,1257.7316,"AGO","33S",FALSE
"ABG_10","P10","S3","TC","P10S3TC",482656.479,8330777.4569,1257.6852,0.637,0.165,1258.4872,"AGO","33S",TRUE
"ABG_10","P10","S4","T1","P10S4T1",482665.9473,8330751.3321,1257.6458,0.661,0.165,1258.4718,"AGO","33S",FALSE
"ABG_10","P10","S4","T2","P10S4T2",482670.8542,8330743.0062,1257.8938,0.692,0.165,1258.7508,"AGO","33S",FALSE
"ABG_10","P10","S4","T3","P10S4T3",482662.2571,8330741.3906,1257.0047,0.651,0.165,1257.8207,"AGO","33S",FALSE
"ABG_10","P10","S4","T4","P10S4T4",482658.4716,8330746.1598,1256.9025,0.652,0.165,1257.7195,"AGO","33S",FALSE
"ABG_10","P10","S4","TC","P10S4TC",482664.7881,8330743.7269,1257.2637,0.677,0.165,1258.1057,"AGO","33S",TRUE
"ABG_10","P10","S5","T2","P10S5T2",482641.2871,8330734.9279,1255.1382,0.605,0.165,1255.9082,"AGO","33S",FALSE
"ABG_10","P10","S5","T4","P10S5T4",482624.5415,8330746.1761,1254.0954,0.567,0.165,1254.8274,"AGO","33S",FALSE
"ABG_10","P10","S5","TC","P10S5TC",482630.2265,8330737.5805,1254.0918,0.736,0.165,1254.9928,"AGO","33S",TRUE
"ABG_10","P10","S6","T1","P10S6T1",482600.7969,8330738.03,1252.0334,0.595,0.165,1252.7934,"AGO","33S",FALSE
"ABG_10","P10","S6","T2","P10S6T2",482603.1786,8330725.6045,1251.845,0.6,0.165,1252.61,"AGO","33S",FALSE
"ABG_10","P10","S6","T3","P10S6T3",482594.018,8330725.5588,1251.1629,0.62,0.165,1251.9479,"AGO","33S",FALSE
"ABG_10","P10","S6","T4","P10S6T4",482588.8943,8330734.966,1251.1163,0.594,0.165,1251.8753,"AGO","33S",FALSE
"ABG_10","P10","S7","T1","P10S7T1",482609.8204,8330705.5128,1251.541,0.685,0.165,1252.391,"AGO","33S",FALSE
"ABG_10","P10","S7","T2","P10S7T2",482614.4611,8330694.4295,1251.4335,0.645,0.165,1252.2435,"AGO","33S",FALSE
"ABG_10","P10","S7","T3","P10S7T3",482600.6835,8330689.4866,1250.4659,0.584,0.165,1251.2149,"AGO","33S",FALSE
"ABG_10","P10","S7","T4","P10S7T4",482597.4304,8330704.7199,1250.7308,0.64,0.165,1251.5358,"AGO","33S",FALSE
"ABG_10","P10","S8","T1","P10S8T1",482637.4957,8330709.8924,1253.8872,0.645,0.165,1254.6972,"AGO","33S",FALSE
"ABG_10","P10","S8","T2","P10S8T2",482646.2643,8330700.2226,1254.6934,0.624,0.165,1255.4824,"AGO","33S",FALSE
"ABG_10","P10","S8","T3","P10S8T3",482639.1137,8330696.6888,1252.9396,0.528,0.165,1253.6326,"AGO","33S",FALSE
"ABG_10","P10","S8","T4","P10S8T4",482635.2405,8330700.5666,1253.696,0.656,0.165,1254.517,"AGO","33S",FALSE
